"pack","id","level","category","word","article","plural","translation_tr","example_de","example_tr","tags"
"a1","a1_0001","A1","Selamlama","Hallo","","","merhaba","Hallo! Wie geht es dir?","Merhaba! Nasılsın?","greeting, a1"
"a1","a1_0002","A1","Selamlama","Guten Morgen","","","günaydın","Guten Morgen! Schönen Tag!","Günaydın! İyi günler!","greeting, a1"
"a1","a1_0003","A1","Selamlama","Guten Tag","","","iyi günler","Guten Tag, Frau Müller!","İyi günler, Bayan Müller!","greeting, a1"
"a1","a1_0004","A1","Selamlama","Guten Abend","","","iyi akşamlar","Guten Abend! Wie geht es?","İyi akşamlar! Nasılsınız?","greeting, a1"
"a1","a1_0005","A1","Selamlama","Gute Nacht","","","iyi geceler","Gute Nacht und schlaf gut!","İyi geceler ve iyi uyu!","greeting, a1"
"a1","a1_0006","A1","Selamlama","Tschüss","","","hoşça kal","Tschüss! Bis morgen!","Hoşça kal! Yarın görüşürüz!","greeting, a1"
"a1","a1_0007","A1","Selamlama","Auf Wiedersehen","","","güle güle","Auf Wiedersehen, Herr Schmidt!","Güle güle, Bay Schmidt!","greeting, a1"
"a1","a1_0008","A1","Selamlama","Danke","","","teşekkürler","Danke schön!","Çok teşekkürler!","greeting, a1"
"a1","a1_0009","A1","Selamlama","Bitte","","","lütfen / rica ederim","Bitte schön!","Buyrun / Rica ederim!","greeting, a1"
"a1","a1_0010","A1","Selamlama","Entschuldigung","","","affedersiniz","Entschuldigung, wo ist die Toilette?","Affedersiniz, tuvalet nerede?","greeting, a1"
"a1","a1_0011","A1","Selamlama","Willkommen","","","hoş geldiniz","Willkommen in Deutschland!","Almanya'ya hoş geldiniz!","greeting, a1"
"a1","a1_0012","A1","Selamlama","Servus","","","selam (Güney Almanca)","Servus! Alles klar?","Selam! Her şey yolunda mı?","greeting, a1"
"a1","a1_0013","A1","Selamlama","Grüß Gott","","","selam (Bavyera)","Grüß Gott! Schönen Tag!","Selam! İyi günler!","greeting, a1"
"a1","a1_0014","A1","Selamlama","Morgen","","","sabah","Am Morgen trinke ich Kaffee.","Sabah kahve içerim.","greeting, time, a1"
